Carat.Size,Color,Clarity,Depth,Table,Cut,Report,Price,Log.Price,Table.Depth,Table.Depth.1,Test
0.3,E,VVS1,60,59,Excellent,GIA,1000,6.90775528,-1,0.98333333,0
0.44,E,VS2,61.9,58,Excellent,GIA,1000,6.90775528,-3.9,0.93699515,1
0.31,E,VVS1,61.3,58,Excellent,GIA,1000,6.90775528,-3.3,0.94616639,0
0.66,K,SI1,62.8,57,Excellent,GIA,1000,6.90775528,-5.8,0.90764331,2
0.47,H,VS2,59.1,64,Very Good,GIA,1000,6.90775528,4.9,1.08291032,2
0.4,G,VS1,62,59,Excellent,GIA,1000,6.90775528,-3,0.9516129,2
0.36,D,VS2,61.3,57,Excellent,GIA,1000,6.90775528,-4.3,0.92985318,0
0.52,H,SI2,61.7,61,Very Good,GIA,1000,6.90775528,-0.7,0.98865478,0
0.53,D,SI2,59.4,59,Very Good,GIA,1001,6.90875478,-0.4,0.99326599,0
0.43,F,VS2,61.5,60,Excellent,GIA,1001,6.90875478,-1.5,0.97560976,2
0.43,F,VS2,60.4,59,Very Good,GIA,1001,6.90875478,-1.4,0.97682119,0
0.43,F,VS2,62,58,Very Good,GIA,1001,6.90875478,-4,0.93548387,1
0.3,E,VVS1,59.1,62,Good,GIA,1001,6.90875478,2.9,1.04906937,2
0.47,I,VS2,62.4,57,Excellent,GIA,1001,6.90875478,-5.4,0.91346154,0
0.41,E,VS2,62.8,56,Excellent,GIA,1001,6.90875478,-6.8,0.89171975,0
0.44,D,SI1,60.2,60,Excellent,GIA,1001,6.90875478,-0.2,0.99667774,0
0.36,F,VVS2,60.7,59,Excellent,GIA,1001,6.90875478,-1.7,0.97199341,1
0.4,E,VS1,62.5,62,Good,GIA,1001,6.90875478,-0.5,0.992,2
0.4,E,VS1,64.3,60,Good,GIA,1001,6.90875478,-4.3,0.93312597,0
0.32,F,IF,61.5,57,Very Good,GIA,1002,6.90975328,-4.5,0.92682927,2
0.5,F,SI2,63.3,60,Very Good,GIA,1002,6.90975328,-3.3,0.9478673,0
0.5,H,SI1,63,63,Good,GIA,1002,6.90975328,0,1,2
0.36,E,VS1,61.5,59,Excellent,GIA,1002,6.90975328,-2.5,0.95934959,2
0.44,E,VS2,62.1,57,Excellent,GIA,1002,6.90975328,-5.1,0.9178744,0
0.31,E,VVS1,62.1,57,Very Good,GIA,1002,6.90975328,-5.1,0.9178744,0
0.45,F,VS2,62.6,57,Very Good,GIA,1017,6.9246124,-5.6,0.91054313,2
0.51,I,SI1,62.9,56,Very Good,GIA,1017,6.9246124,-6.9,0.89030207,1
0.3,E,VVS1,62.6,58,Excellent,GIA,1017,6.9246124,-4.6,0.92651757,2
0.51,I,SI1,61.7,55,Ideal,GIA,1017,6.9246124,-6.7,0.89141005,0
0.41,G,VS1,61.4,55,Ideal,GIA,1018,6.9255952,-6.4,0.89576547,0
0.31,E,VVS1,62,56,Excellent,GIA,1018,6.9255952,-6,0.90322581,0
0.31,E,VVS1,60.5,57,Excellent,GIA,1018,6.9255952,-3.5,0.94214876,0
0.31,E,VVS1,59.2,61,Very Good,GIA,1018,6.9255952,1.8,1.03040541,0
0.31,E,VVS1,63.4,56,Very Good,GIA,1018,6.9255952,-7.4,0.88328076,0
0.31,E,VVS1,62,57,Excellent,GIA,1018,6.9255952,-5,0.91935484,0
0.31,E,VVS1,63,55,Excellent,GIA,1018,6.9255952,-8,0.87301587,0
0.31,E,VVS1,61.6,55,Excellent,GIA,1018,6.9255952,-6.6,0.89285714,0
0.31,E,VVS1,62.5,58,Very Good,GIA,1018,6.9255952,-4.5,0.928,2
0.4,F,VVS2,60.9,54,Very Good,GIA,1018,6.9255952,-6.9,0.88669951,0
0.31,E,IF,63.3,58,Very Good,GIA,1018,6.9255952,-5.3,0.91627172,0
0.31,E,IF,62.4,56,Very Good,GIA,1018,6.9255952,-6.4,0.8974359,0
0.42,G,VVS2,62.3,56,Excellent,GIA,1019,6.92657703,-6.3,0.8988764,0
0.33,D,VVS2,60.7,57,Ideal,GIA,1019,6.92657703,-3.7,0.93904448,0
0.37,H,VVS1,62.3,57,Excellent,GIA,1019,6.92657703,-5.3,0.91492777,0
0.45,J,VVS1,58.6,61,Very Good,GIA,1019,6.92657703,2.4,1.04095563,1
0.4,E,VS1,63.5,60,Good,GIA,1019,6.92657703,-3.5,0.94488189,0
0.4,E,VS1,61.1,59,Very Good,GIA,1019,6.92657703,-2.1,0.96563011,2
0.32,D,VVS1,62.7,55,Very Good,GIA,1019,6.92657703,-7.7,0.87719298,0
0.32,D,VVS1,61.5,57,Excellent,GIA,1019,6.92657703,-4.5,0.92682927,0
0.37,D,VVS2,63,56,Excellent,GIA,1019,6.92657703,-7,0.88888889,2
0.33,E,VVS1,60.5,60,Excellent,GIA,1036,6.94312242,-0.5,0.99173554,0
0.33,E,VVS1,61.4,57,Ideal,GIA,1036,6.94312242,-4.4,0.92833876,2
0.37,E,VVS2,61,57,Very Good,GIA,1037,6.94408721,-4,0.93442623,1
0.37,E,VVS2,62.6,57,Very Good,GIA,1037,6.94408721,-5.6,0.91054313,1
0.43,D,VS2,61.4,56,Excellent,GIA,1037,6.94408721,-5.4,0.91205212,0
0.43,D,VS2,62.2,55,Excellent,GIA,1037,6.94408721,-7.2,0.88424437,2
0.43,D,VS2,61.9,55,Excellent,GIA,1037,6.94408721,-6.9,0.88852989,1
0.43,D,VS2,61.7,57,Excellent,GIA,1037,6.94408721,-4.7,0.92382496,0
0.43,D,VS2,61.7,58,Excellent,GIA,1037,6.94408721,-3.7,0.94003241,0
0.34,D,VVS1,62.2,56,Excellent,GIA,1037,6.94408721,-6.2,0.90032154,0
0.37,E,VVS1,62,57,Excellent,GIA,1037,6.94408721,-5,0.91935484,2
0.37,E,VVS1,61.8,57,Excellent,GIA,1037,6.94408721,-4.8,0.9223301,0
0.5,D,SI2,63.9,59,Good,GIA,1037,6.94408721,-4.9,0.92331768,0
0.33,F,VVS1,60.9,58,Excellent,GIA,1037,6.94408721,-2.9,0.95238095,0
0.57,J,VS2,62.1,60,Good,GIA,1037,6.94408721,-2.1,0.96618357,0
0.4,H,VVS1,61.7,57,Ideal,GIA,1037,6.94408721,-4.7,0.92382496,2
0.4,H,VVS1,61.1,60,Excellent,GIA,1037,6.94408721,-1.1,0.98199673,1
0.4,H,VVS1,59.9,58,Excellent,GIA,1037,6.94408721,-1.9,0.96828047,1
0.4,H,VVS1,62.1,56,Excellent,GIA,1037,6.94408721,-6.1,0.90177134,0
0.44,D,VS2,62.8,57,Excellent,GIA,1037,6.94408721,-5.8,0.90764331,2
0.31,E,VVS1,58.9,60,Excellent,GIA,1037,6.94408721,1.1,1.01867572,0
0.31,D,VVS1,62.2,58,Excellent,GIA,1037,6.94408721,-4.2,0.93247588,0
0.31,D,VVS1,60,59,Excellent,GIA,1037,6.94408721,-1,0.98333333,0
0.4,F,VS1,63.7,59,Very Good,GIA,1037,6.94408721,-4.7,0.92621664,0
0.4,F,VS1,63.2,61,Very Good,GIA,1037,6.94408721,-2.2,0.96518987,0
0.32,F,VVS1,61.8,55,Ideal,GIA,1053,6.95939851,-6.8,0.88996764,0
0.32,F,VVS1,60.8,60,Excellent,GIA,1053,6.95939851,-0.8,0.98684211,2
0.4,F,VVS2,64,58,Very Good,GIA,1053,6.95939851,-6,0.90625,0
0.48,G,VS2,63.7,57,Very Good,GIA,1053,6.95939851,-6.7,0.89481947,0
0.33,D,VVS2,61.1,58,Excellent,GIA,1053,6.95939851,-3.1,0.9492635,1
0.38,E,VS1,60.4,59,Excellent,GIA,1054,6.96034773,-1.4,0.97682119,0
0.32,E,IF,62.7,56,Excellent,GIA,1054,6.96034773,-6.7,0.89314195,0
0.31,G,IF,62.3,57,Excellent,GIA,1054,6.96034773,-5.3,0.91492777,0
0.53,F,SI2,62.4,59,Very Good,GIA,1054,6.96034773,-3.4,0.94551282,1
0.42,D,VS1,62.3,57,Excellent,GIA,1054,6.96034773,-5.3,0.91492777,0
0.42,D,VS1,62.6,58,Very Good,GIA,1054,6.96034773,-4.6,0.92651757,0
0.34,F,IF,62.6,56,Very Good,GIA,1054,6.96034773,-6.6,0.89456869,0
0.36,E,VVS1,62.9,56,Excellent,GIA,1054,6.96034773,-6.9,0.89030207,0
0.51,J,VS1,60.7,58,Very Good,GIA,1054,6.96034773,-2.7,0.95551895,1
0.34,E,VVS2,59.8,57,Excellent,GIA,1054,6.96034773,-2.8,0.95317726,0
0.33,D,VVS1,62.3,56,Very Good,GIA,1054,6.96034773,-6.3,0.8988764,1
0.33,E,VVS1,62.2,57,Excellent,GIA,1055,6.96129605,-5.2,0.91639871,0
0.4,E,VS1,62.8,59,Very Good,GIA,1055,6.96129605,-3.8,0.93949045,0
0.4,E,VS1,62.5,53,Very Good,GIA,1055,6.96129605,-9.5,0.848,0
0.4,E,VS1,60.3,61,Excellent,GIA,1055,6.96129605,0.7,1.01160862,0
0.41,E,VS1,60.8,62,Very Good,GIA,1055,6.96129605,1.2,1.01973684,0
0.41,E,VS1,60.8,59,Very Good,GIA,1055,6.96129605,-1.8,0.97039474,0
0.37,E,VS1,62,56,Excellent,GIA,1055,6.96129605,-6,0.90322581,1
0.4,I,IF,62.2,57,Very Good,GIA,1055,6.96129605,-5.2,0.91639871,2
0.37,D,VVS2,61,56,Excellent,GIA,1055,6.96129605,-5,0.91803279,0
0.38,E,VS1,60.2,58,Excellent,GIA,1076,6.98100574,-2.2,0.96345515,0
0.45,E,VS2,61.1,59,Excellent,GIA,1076,6.98100574,-2.1,0.96563011,0
0.5,E,SI2,61.7,58,Very Good,GIA,1076,6.98100574,-3.7,0.94003241,0
0.5,G,SI1,62.6,56,Excellent,GIA,1076,6.98100574,-6.6,0.89456869,2
0.5,G,SI1,61.5,60,Excellent,GIA,1076,6.98100574,-1.5,0.97560976,1
0.42,F,VS1,61.7,59,Very Good,GIA,1076,6.98100574,-2.7,0.95623987,0
0.42,F,VS1,62.1,59,Excellent,GIA,1076,6.98100574,-3.1,0.95008052,0
0.5,E,SI2,61,57,Excellent,GIA,1076,6.98100574,-4,0.93442623,0
0.5,G,SI1,60.7,60,Very Good,GIA,1076,6.98100574,-0.7,0.98846787,0
0.62,J,VS2,58.9,59,Good,GIA,1076,6.98100574,0.1,1.00169779,2
0.5,J,VS2,61.4,57,Excellent,GIA,1076,6.98100574,-4.4,0.92833876,1
0.39,E,VVS1,62.2,57,Excellent,GIA,1076,6.98100574,-5.2,0.91639871,0
0.39,E,VVS1,62.1,56,Excellent,GIA,1076,6.98100574,-6.1,0.90177134,0
0.37,H,VVS1,61.4,57,Ideal,GIA,1077,6.98193468,-4.4,0.92833876,0
0.37,D,VS1,61.7,58,Excellent,GIA,1077,6.98193468,-3.7,0.94003241,0
0.37,D,VS1,60.9,61,Excellent,GIA,1077,6.98193468,0.1,1.00164204,0
0.54,H,SI2,60.6,58,Very Good,GIA,1077,6.98193468,-2.6,0.95709571,0
0.46,D,VS2,63,57,Excellent,GIA,1077,6.98193468,-6,0.9047619,0
0.57,J,VS2,61.9,56,Very Good,GIA,1077,6.98193468,-5.9,0.90468498,2
0.36,G,VVS1,60.5,58,Excellent,GIA,1077,6.98193468,-2.5,0.95867769,2
0.38,E,VS1,61.5,56,Ideal,GIA,1078,6.98286275,-5.5,0.91056911,2
0.34,F,IF,62.9,56,Excellent,GIA,1078,6.98286275,-6.9,0.89030207,0
0.31,E,VVS1,61.9,56,Ideal,GIA,1078,6.98286275,-5.9,0.90468498,1
0.52,E,SI2,61.7,58,Excellent,GIA,1078,6.98286275,-3.7,0.94003241,0
0.5,I,VS2,59.4,59,Very Good,GIA,1078,6.98286275,-0.4,0.99326599,0
0.44,G,VVS2,61.6,59,Excellent,GIA,1099,7.00215595,-2.6,0.95779221,0
0.35,G,IF,61.6,57,Ideal,GIA,1099,7.00215595,-4.6,0.92532468,1
0.35,E,VVS2,59.4,60,Excellent,GIA,1099,7.00215595,0.6,1.01010101,0
0.55,G,SI1,63.1,57,Excellent,GIA,1099,7.00215595,-6.1,0.90332805,0
0.32,F,IF,60.9,57,Ideal,GIA,1100,7.00306546,-3.9,0.93596059,0
