year,price,mileage
2021,53.996,53.352
2005,8.595,208.543
2001,8.5,181.402
2020,57.17,40.004
2015,21.56,84.008
2021,46.95,28.573
2019,43.891,59.272
2018,29.995,46.608
2011,0,134
2020,53.568,23.017
2023,66.998,3.999
2021,66.599,28.05
2023,73.681,0.006
2023,83.033,8.06
2016,24.991,78.389
2017,30.999,51.972
2021,45.443,44.434
2021,55.299,31.322
2020,49.868,28.069
2019,39.998,46.716
2023,65.591,17.45
2004,17.775,109.029
2011,14.998,98.924
2010,8.5,176.464
2014,19.98,95.478
2014,16.999,131.32
2017,27.988,86.628
2006,7.777,130.798
2020,42.998,19.572
2019,36.497,63.272
2019,35.86,78.473
2016,19.999,142
2019,37.904,51.287
2021,50.999,28.873
2008,0,133.951
2019,47.999,37.733
2021,41.996,43.604
2011,9.997,106.988
2023,83.876,7.473
2020,64.356,10.225
2015,23.11,87.293
2012,12.023,121.294
2007,8.995,96.962
2021,56.944,26.674
2012,12.459,108.702
2023,60.83,14
2022,44.109,34.998
2011,11.739,123.629
2019,44.991,44.06
2022,54.224,33.407
2020,57.34,26.879
2022,59.871,34.659
2016,23.594,65.624
2015,22.799,88.779
2022,61.981,29.95
2022,61.225,27.198
2019,39.487,34.637
2020,49.999,35.474
2013,9.995,141.605
2019,50.568,18.657
2019,47.5,42.276
2022,59.304,17.168
2018,28.599,107.657
2015,21.995,116.978
2012,14.995,88.902
2021,46.388,32.063
2015,28.5,54.69
2015,19.799,83.901
2007,4.995,205.175
2021,52.487,13.426
2016,29.698,57.89
2022,62.961,30.427
2018,27.121,67.622
2012,14.99,98.259
2022,58.891,32.461
2016,25.262,66.084
2021,47.89,58.555
2022,58.5,21.177
2012,12.408,123.164
2020,50.224,53.483
2021,51.168,31.61
2020,39.043,29.53
2023,69.588,15.174
2019,40.01,59.392
2016,23.796,83.061
2019,46.994,45.884
2022,54.681,32.41
2016,20.286,168.929
2020,48.997,9.71
2021,70.594,17.398
2019,40.525,61.588
2023,68.946,0.475
2022,59.991,20.651
2019,39,51.2
2017,24.995,88.248
2022,74.902,12.593
2018,30.646,81.355
2020,46.393,33.192
2013,12.5,124.519
2019,47.991,61.309
2018,33.596,52.413
2015,24.58,71.879
2023,74.925,10.971
2022,56.999,22.573
2013,13.198,83.934
2013,11.322,122.095
2019,44.568,55.535
2015,19.77,85.32
2022,58.549,30.17
2013,15.995,89.291
2014,21.489,96.974
2020,55.991,18.774
2021,49.787,38.241
2012,16.993,85.155
2013,14.438,84.28
2021,56.999,29.932
2021,56.929,39.094
2013,17.995,66.627
2017,25.999,73.95
2023,69.097,7.393
2006,9.995,111.058
2021,65.596,24.721
2020,40.739,42.418
2015,17.96,126.171
2020,56.95,39.88
2014,20.99,85.394
2019,51.5,36.5
2013,13.977,95.836
2021,50.999,30.257
2012,13.99,98.527
2002,8.495,99
2021,47.396,43.447
2016,25.491,69.491
2014,15.999,152.856
2021,0,24.21
2005,7.999,143.922
2016,23.789,72.591
2023,70.536,5.732
2012,14.999,52.634
2016,19.594,88.457
2018,30.329,57.982
2014,19.495,101.821
2018,36.9,51.47
2014,19.988,87.654
2019,33.998,69.341
2017,23.998,83.746
2012,13.99,120.273
2015,23,69.7
2022,62.761,33.397
2016,0,76.846
